parlimen,variable,value
P.001 Padang Besar,businesses_agriculture,46
P.002 Kangar,businesses_agriculture,72
P.003 Arau,businesses_agriculture,51
P.004 Langkawi,businesses_agriculture,31
P.005 Jerlun,businesses_agriculture,17
P.006 Kubang Pasu,businesses_agriculture,71
P.007 Padang Terap,businesses_agriculture,21
P.008 Pokok Sena,businesses_agriculture,142
P.009 Alor Setar,businesses_agriculture,98
P.010 Kuala Kedah,businesses_agriculture,79
P.011 Pendang,businesses_agriculture,43
P.012 Jerai,businesses_agriculture,65
P.013 Sik,businesses_agriculture,20
P.014 Merbok,businesses_agriculture,259
P.015 Sungai Petani,businesses_agriculture,94
P.016 Baling,businesses_agriculture,48
P.017 Padang Serai,businesses_agriculture,63
P.018 Kulim-Bandar Baharu,businesses_agriculture,49
P.019 Tumpat,businesses_agriculture,70
P.020 Pengkalan Chepa,businesses_agriculture,78
P.021 Kota Bharu,businesses_agriculture,348
P.022 Pasir Mas,businesses_agriculture,33
P.023 Rantau Panjang,businesses_agriculture,56
P.024 Kubang Kerian,businesses_agriculture,76
P.025 Bachok,businesses_agriculture,49
P.026 Ketereh,businesses_agriculture,41
P.027 Tanah Merah,businesses_agriculture,82
P.028 Pasir Puteh,businesses_agriculture,68
P.029 Machang,businesses_agriculture,56
P.030 Jeli,businesses_agriculture,33
P.031 Kuala Krai,businesses_agriculture,121
P.032 Gua Musang,businesses_agriculture,129
P.033 Besut,businesses_agriculture,40
P.034 Setiu,businesses_agriculture,70
P.035 Kuala Nerus,businesses_agriculture,43
P.036 Kuala Terengganu,businesses_agriculture,140
P.037 Marang,businesses_agriculture,59
P.038 Hulu Terengganu,businesses_agriculture,77
P.039 Dungun,businesses_agriculture,76
P.040 Kemaman,businesses_agriculture,101
P.041 Kepala Batas,businesses_agriculture,88
P.042 Tasek Gelugor,businesses_agriculture,43
P.043 Bagan,businesses_agriculture,63
P.044 Permatang Pauh,businesses_agriculture,153
P.045 Bukit Mertajam,businesses_agriculture,93
P.046 Batu Kawan,businesses_agriculture,136
P.047 Nibong Tebal,businesses_agriculture,227
P.048 Bukit Bendera,businesses_agriculture,100
P.049 Tanjong,businesses_agriculture,120
P.050 Jelutong,businesses_agriculture,41
P.051 Bukit Gelugor,businesses_agriculture,32
P.052 Bayan Baru,businesses_agriculture,66
P.053 Balik Pulau,businesses_agriculture,37
P.054 Gerik,businesses_agriculture,39
P.055 Lenggong,businesses_agriculture,22
P.056 Larut,businesses_agriculture,57
P.057 Parit Buntar,businesses_agriculture,81
P.058 Bagan Serai,businesses_agriculture,111
P.059 Bukit Gantang,businesses_agriculture,114
P.060 Taiping,businesses_agriculture,132
P.061 Padang Rengas,businesses_agriculture,30
P.062 Sungai Siput,businesses_agriculture,112
P.063 Tambun,businesses_agriculture,108
P.064 Ipoh Timor,businesses_agriculture,262
P.065 Ipoh Barat,businesses_agriculture,293
P.066 Batu Gajah,businesses_agriculture,75
P.067 Kuala Kangsar,businesses_agriculture,37
P.068 Beruas,businesses_agriculture,398
P.069 Parit,businesses_agriculture,46
P.070 Kampar,businesses_agriculture,90
P.071 Gopeng,businesses_agriculture,135
P.072 Tapah,businesses_agriculture,66
P.073 Pasir Salak,businesses_agriculture,104
P.074 Lumut,businesses_agriculture,124
P.075 Bagan Datuk,businesses_agriculture,86
P.076 Teluk Intan,businesses_agriculture,196
P.077 Tanjong Malim,businesses_agriculture,132
P.078 Cameron Highlands,businesses_agriculture,512
P.079 Lipis,businesses_agriculture,59
P.080 Raub,businesses_agriculture,139
P.081 Jerantut,businesses_agriculture,115
P.082 Indera Mahkota,businesses_agriculture,197
P.083 Kuantan,businesses_agriculture,371
P.084 Paya Besar,businesses_agriculture,90
P.085 Pekan,businesses_agriculture,96
P.086 Maran,businesses_agriculture,59
P.087 Kuala Krau,businesses_agriculture,72
P.088 Temerloh,businesses_agriculture,298
P.089 Bentong,businesses_agriculture,117
P.090 Bera,businesses_agriculture,170
P.091 Rompin,businesses_agriculture,163
P.092 Sabak Bernam,businesses_agriculture,24
P.093 Sungai Besar,businesses_agriculture,50
P.094 Hulu Selangor,businesses_agriculture,60
P.095 Tanjong Karang,businesses_agriculture,28
P.096 Kuala Selangor,businesses_agriculture,53
P.097 Selayang,businesses_agriculture,79
P.098 Gombak,businesses_agriculture,138
P.099 Ampang,businesses_agriculture,40
P.100 Pandan,businesses_agriculture,87
P.101 Hulu Langat,businesses_agriculture,83
P.102 Bangi,businesses_agriculture,171
P.103 Puchong,businesses_agriculture,104
P.104 Subang,businesses_agriculture,246
P.105 Petaling Jaya,businesses_agriculture,279
P.106 Damansara,businesses_agriculture,234
P.107 Sungai Buloh,businesses_agriculture,117
P.108 Shah Alam,businesses_agriculture,160
P.109 Kapar,businesses_agriculture,147
P.110 Klang,businesses_agriculture,209
P.111 Kota Raja,businesses_agriculture,201
P.112 Kuala Langat,businesses_agriculture,178
P.113 Sepang,businesses_agriculture,161
P.126 Jelebu,businesses_agriculture,82
P.127 Jempol,businesses_agriculture,196
P.128 Seremban,businesses_agriculture,155
P.129 Kuala Pilah,businesses_agriculture,59
P.130 Rasah,businesses_agriculture,188
P.131 Rembau,businesses_agriculture,153
P.132 Port Dickson,businesses_agriculture,159
P.133 Tampin,businesses_agriculture,115
P.134 Masjid Tanah,businesses_agriculture,67
P.135 Alor Gajah,businesses_agriculture,115
P.136 Tangga Batu,businesses_agriculture,61
P.137 Hang Tuah Jaya,businesses_agriculture,115
P.138 Kota Melaka,businesses_agriculture,192
P.139 Jasin,businesses_agriculture,87
P.140 Segamat,businesses_agriculture,167
P.141 Sekijang,businesses_agriculture,222
P.142 Labis,businesses_agriculture,84
P.143 Pagoh,businesses_agriculture,179
P.144 Ledang,businesses_agriculture,221
P.145 Bakri,businesses_agriculture,261
P.146 Muar,businesses_agriculture,102
P.147 Parit Sulong,businesses_agriculture,163
P.148 Ayer Hitam,businesses_agriculture,149
P.149 Sri Gading,businesses_agriculture,103
P.150 Batu Pahat,businesses_agriculture,221
P.151 Simpang Renggam,businesses_agriculture,114
P.152 Kluang,businesses_agriculture,320
P.153 Sembrong,businesses_agriculture,95
P.154 Mersing,businesses_agriculture,85
P.155 Tenggara,businesses_agriculture,148
P.156 Kota Tinggi,businesses_agriculture,82
P.157 Pengerang,businesses_agriculture,46
P.158 Tebrau,businesses_agriculture,192
P.159 Pasir Gudang,businesses_agriculture,121
P.160 Johor Bahru,businesses_agriculture,143
P.161 Pulai,businesses_agriculture,369
P.162 Iskandar Puteri,businesses_agriculture,117
P.163 Kulai,businesses_agriculture,174
P.164 Pontian,businesses_agriculture,103
P.165 Tanjung Piai,businesses_agriculture,79
P.167 Kudat,businesses_agriculture,11
P.168 Kota Marudu,businesses_agriculture,19
P.169 Kota Belud,businesses_agriculture,8
P.170 Tuaran,businesses_agriculture,20
P.171 Sepanggar,businesses_agriculture,184
P.172 Kota Kinabalu,businesses_agriculture,354
P.173 Putatan,businesses_agriculture,17
P.174 Penampang,businesses_agriculture,76
P.175 Papar,businesses_agriculture,10
P.176 Kimanis,businesses_agriculture,12
P.177 Beaufort,businesses_agriculture,7
P.178 Sipitang,businesses_agriculture,17
P.179 Ranau,businesses_agriculture,13
P.180 Keningau,businesses_agriculture,101
P.181 Tenom,businesses_agriculture,6
P.182 Pensiangan,businesses_agriculture,23
P.183 Beluran,businesses_agriculture,37
P.184 Libaran,businesses_agriculture,243
P.185 Batu Sapi,businesses_agriculture,212
P.186 Sandakan,businesses_agriculture,281
P.187 Kinabatangan,businesses_agriculture,57
P.188 Lahad Datu,businesses_agriculture,492
P.189 Semporna,businesses_agriculture,25
P.190 Tawau,businesses_agriculture,598
P.191 Kalabakan,businesses_agriculture,135
P.192 Mas Gading,businesses_agriculture,39
P.193 Santubong,businesses_agriculture,55
P.194 Petra Jaya,businesses_agriculture,116
P.195 Bandar Kuching,businesses_agriculture,263
P.196 Stampin,businesses_agriculture,123
P.197 Kota Samarahan,businesses_agriculture,55
P.198 Puncak Borneo,businesses_agriculture,48
P.199 Serian,businesses_agriculture,52
P.200 Batang Sadong,businesses_agriculture,13
P.201 Batang Lupar,businesses_agriculture,16
P.202 Sri Aman,businesses_agriculture,19
P.203 Lubok Antu,businesses_agriculture,6
P.204 Betong,businesses_agriculture,16
P.205 Saratok,businesses_agriculture,11
P.206 Tanjong Manis,businesses_agriculture,12
P.207 Igan,businesses_agriculture,11
P.208 Sarikei,businesses_agriculture,67
P.209 Julau,businesses_agriculture,9
P.210 Kanowit,businesses_agriculture,9
P.211 Lanang,businesses_agriculture,383
P.212 Sibu,businesses_agriculture,328
P.213 Mukah,businesses_agriculture,30
P.214 Selangau,businesses_agriculture,17
P.215 Kapit,businesses_agriculture,7
P.216 Hulu Rajang,businesses_agriculture,4
P.217 Bintulu,businesses_agriculture,313
P.218 Sibuti,businesses_agriculture,76
P.219 Miri,businesses_agriculture,382
P.220 Baram,businesses_agriculture,8
P.221 Limbang,businesses_agriculture,22
P.222 Lawas,businesses_agriculture,16
P.114 Kepong,businesses_agriculture,59
P.115 Batu,businesses_agriculture,155
P.116 Wangsa Maju,businesses_agriculture,97
P.117 Segambut,businesses_agriculture,223
P.118 Setiawangsa,businesses_agriculture,48
P.119 Titiwangsa,businesses_agriculture,149
P.120 Bukit Bintang,businesses_agriculture,253
P.121 Lembah Pantai,businesses_agriculture,85
P.122 Seputeh,businesses_agriculture,147
P.123 Cheras,businesses_agriculture,83
P.124 Bandar Tun Razak,businesses_agriculture,51
P.125 Putrajaya,businesses_agriculture,10
P.166 Labuan,businesses_agriculture,15
P.001 Padang Besar,businesses_forestry,0
P.002 Kangar,businesses_forestry,4
P.003 Arau,businesses_forestry,1
P.004 Langkawi,businesses_forestry,2
P.005 Jerlun,businesses_forestry,1
P.006 Kubang Pasu,businesses_forestry,5
P.007 Padang Terap,businesses_forestry,1
P.008 Pokok Sena,businesses_forestry,8
P.009 Alor Setar,businesses_forestry,13
P.010 Kuala Kedah,businesses_forestry,7
P.011 Pendang,businesses_forestry,0
P.012 Jerai,businesses_forestry,4
P.013 Sik,businesses_forestry,0
P.014 Merbok,businesses_forestry,17
P.015 Sungai Petani,businesses_forestry,17
P.016 Baling,businesses_forestry,3
P.017 Padang Serai,businesses_forestry,6
P.018 Kulim-Bandar Baharu,businesses_forestry,2
P.019 Tumpat,businesses_forestry,3
P.020 Pengkalan Chepa,businesses_forestry,17
P.021 Kota Bharu,businesses_forestry,173
P.022 Pasir Mas,businesses_forestry,7
P.023 Rantau Panjang,businesses_forestry,14
P.024 Kubang Kerian,businesses_forestry,15
P.025 Bachok,businesses_forestry,4
P.026 Ketereh,businesses_forestry,5
P.027 Tanah Merah,businesses_forestry,22
P.028 Pasir Puteh,businesses_forestry,8
P.029 Machang,businesses_forestry,12
P.030 Jeli,businesses_forestry,5
P.031 Kuala Krai,businesses_forestry,52
P.032 Gua Musang,businesses_forestry,54
P.033 Besut,businesses_forestry,3
P.034 Setiu,businesses_forestry,1
P.035 Kuala Nerus,businesses_forestry,6
P.036 Kuala Terengganu,businesses_forestry,35
P.037 Marang,businesses_forestry,7
P.038 Hulu Terengganu,businesses_forestry,3
P.039 Dungun,businesses_forestry,3
P.040 Kemaman,businesses_forestry,6
P.041 Kepala Batas,businesses_forestry,1
P.042 Tasek Gelugor,businesses_forestry,0
P.043 Bagan,businesses_forestry,2
P.044 Permatang Pauh,businesses_forestry,7
P.045 Bukit Mertajam,businesses_forestry,6
P.046 Batu Kawan,businesses_forestry,6
P.047 Nibong Tebal,businesses_forestry,3
P.048 Bukit Bendera,businesses_forestry,2
P.049 Tanjong,businesses_forestry,11
P.050 Jelutong,businesses_forestry,2
P.051 Bukit Gelugor,businesses_forestry,1
P.052 Bayan Baru,businesses_forestry,3
P.053 Balik Pulau,businesses_forestry,2
P.054 Gerik,businesses_forestry,9
P.055 Lenggong,businesses_forestry,2
P.056 Larut,businesses_forestry,5
P.057 Parit Buntar,businesses_forestry,0
P.058 Bagan Serai,businesses_forestry,5
P.059 Bukit Gantang,businesses_forestry,19
P.060 Taiping,businesses_forestry,14
P.061 Padang Rengas,businesses_forestry,3
P.062 Sungai Siput,businesses_forestry,19
P.063 Tambun,businesses_forestry,17
P.064 Ipoh Timor,businesses_forestry,55
P.065 Ipoh Barat,businesses_forestry,63
P.066 Batu Gajah,businesses_forestry,8
P.067 Kuala Kangsar,businesses_forestry,6
P.068 Beruas,businesses_forestry,9
