parlimen,variable,value
P.001 Padang Besar,labour_participation_rate,62.9
P.002 Kangar,labour_participation_rate,62.8
P.003 Arau,labour_participation_rate,63.3
P.004 Langkawi,labour_participation_rate,68.5
P.005 Jerlun,labour_participation_rate,61.3
P.006 Kubang Pasu,labour_participation_rate,61.7
P.007 Padang Terap,labour_participation_rate,65.4
P.008 Pokok Sena,labour_participation_rate,65.8
P.009 Alor Setar,labour_participation_rate,61.9
P.010 Kuala Kedah,labour_participation_rate,61.2
P.011 Pendang,labour_participation_rate,64.2
P.012 Jerai,labour_participation_rate,60.3
P.013 Sik,labour_participation_rate,61.1
P.014 Merbok,labour_participation_rate,60.5
P.015 Sungai Petani,labour_participation_rate,60.3
P.016 Baling,labour_participation_rate,66.6
P.017 Padang Serai,labour_participation_rate,64.9
P.018 Kulim-Bandar Baharu,labour_participation_rate,65.7
P.019 Tumpat,labour_participation_rate,54.8
P.020 Pengkalan Chepa,labour_participation_rate,60.8
P.021 Kota Bharu,labour_participation_rate,60.3
P.022 Pasir Mas,labour_participation_rate,53.9
P.023 Rantau Panjang,labour_participation_rate,54.2
P.024 Kubang Kerian,labour_participation_rate,60.9
P.025 Bachok,labour_participation_rate,54.4
P.026 Ketereh,labour_participation_rate,60.9
P.027 Tanah Merah,labour_participation_rate,58.4
P.028 Pasir Puteh,labour_participation_rate,56.6
P.029 Machang,labour_participation_rate,59.4
P.030 Jeli,labour_participation_rate,57.3
P.031 Kuala Krai,labour_participation_rate,61.4
P.032 Gua Musang,labour_participation_rate,57.0
P.033 Besut,labour_participation_rate,60.0
P.034 Setiu,labour_participation_rate,64.6
P.035 Kuala Nerus,labour_participation_rate,55.2
P.036 Kuala Terengganu,labour_participation_rate,61.1
P.037 Marang,labour_participation_rate,55.8
P.038 Hulu Terengganu,labour_participation_rate,55.9
P.039 Dungun,labour_participation_rate,55.7
P.040 Kemaman,labour_participation_rate,65.6
P.041 Kepala Batas,labour_participation_rate,63.1
P.042 Tasek Gelugor,labour_participation_rate,63.2
P.043 Bagan,labour_participation_rate,62.9
P.044 Permatang Pauh,labour_participation_rate,63.0
P.045 Bukit Mertajam,labour_participation_rate,69.1
P.046 Batu Kawan,labour_participation_rate,75.6
P.047 Nibong Tebal,labour_participation_rate,76.6
P.048 Bukit Bendera,labour_participation_rate,66.0
P.049 Tanjong,labour_participation_rate,66.6
P.050 Jelutong,labour_participation_rate,67.6
P.051 Bukit Gelugor,labour_participation_rate,66.4
P.052 Bayan Baru,labour_participation_rate,69.6
P.053 Balik Pulau,labour_participation_rate,69.2
P.054 Gerik,labour_participation_rate,62.5
P.055 Lenggong,labour_participation_rate,61.8
P.056 Larut,labour_participation_rate,66.7
P.057 Parit Buntar,labour_participation_rate,60.3
P.058 Bagan Serai,labour_participation_rate,61.2
P.059 Bukit Gantang,labour_participation_rate,67.7
P.060 Taiping,labour_participation_rate,66.5
P.061 Padang Rengas,labour_participation_rate,60.4
P.062 Sungai Siput,labour_participation_rate,60.7
P.063 Tambun,labour_participation_rate,64.7
P.064 Ipoh Timor,labour_participation_rate,66.1
P.065 Ipoh Barat,labour_participation_rate,64.5
P.066 Batu Gajah,labour_participation_rate,64.9
P.067 Kuala Kangsar,labour_participation_rate,59.9
P.068 Beruas,labour_participation_rate,64.8
P.069 Parit,labour_participation_rate,60.6
P.070 Kampar,labour_participation_rate,65.8
P.071 Gopeng,labour_participation_rate,61.3
P.072 Tapah,labour_participation_rate,68.1
P.073 Pasir Salak,labour_participation_rate,65.6
P.074 Lumut,labour_participation_rate,64.9
P.075 Bagan Datuk,labour_participation_rate,63.8
P.076 Teluk Intan,labour_participation_rate,63.4
P.077 Tanjong Malim,labour_participation_rate,68.5
P.078 Cameron Highlands,labour_participation_rate,73.3
P.079 Lipis,labour_participation_rate,58.5
P.080 Raub,labour_participation_rate,64.5
P.081 Jerantut,labour_participation_rate,64.9
P.082 Indera Mahkota,labour_participation_rate,69.3
P.083 Kuantan,labour_participation_rate,69.1
P.084 Paya Besar,labour_participation_rate,68.9
P.085 Pekan,labour_participation_rate,69.2
P.086 Maran,labour_participation_rate,65.0
P.087 Kuala Krau,labour_participation_rate,63.6
P.088 Temerloh,labour_participation_rate,63.6
P.089 Bentong,labour_participation_rate,63.8
P.090 Bera,labour_participation_rate,57.6
P.091 Rompin,labour_participation_rate,61.6
P.092 Sabak Bernam,labour_participation_rate,72.4
