Coalition/Party,parlimen,percentage_votes
Barisan Nasional (BN),P.001 Padang Besar,25.95
Barisan Nasional (BN),P.002 Kangar,27.35
Barisan Nasional (BN),P.003 Arau,17.62
Barisan Nasional (BN),P.004 Langkawi,25.16
Barisan Nasional (BN),P.005 Jerlun,21.51
Barisan Nasional (BN),P.006 Kubang Pasu,17.37
Barisan Nasional (BN),P.007 Padang Terap,35.49
Barisan Nasional (BN),P.008 Pokok Sena,16.51
Barisan Nasional (BN),P.009 Alor Setar,11.6
Barisan Nasional (BN),P.010 Kuala Kedah,13.81
Barisan Nasional (BN),P.011 Pendang,23.44
Barisan Nasional (BN),P.012 Jerai,19.77
Barisan Nasional (BN),P.013 Sik,25.06
Barisan Nasional (BN),P.014 Merbok,16.28
Barisan Nasional (BN),P.015 Sungai Petani,21.07
Barisan Nasional (BN),P.016 Baling,32.42
Barisan Nasional (BN),P.017 Padang Serai,3.26
Barisan Nasional (BN),P.018 Kulim-Bandar Baharu,19.72
Barisan Nasional (BN),P.019 Tumpat,29.27
Barisan Nasional (BN),P.020 Pengkalan Chepa,20.14
Barisan Nasional (BN),P.021 Kota Bharu,20.72
Barisan Nasional (BN),P.022 Pasir Mas,21.07
Barisan Nasional (BN),P.023 Rantau Panjang,28.29
Barisan Nasional (BN),P.024 Kubang Kerian,18.19
Barisan Nasional (BN),P.025 Bachok,30.45
Barisan Nasional (BN),P.026 Ketereh,27.74
Barisan Nasional (BN),P.027 Tanah Merah,14.04
Barisan Nasional (BN),P.028 Pasir Puteh,29.43
Barisan Nasional (BN),P.029 Machang,39.08
Barisan Nasional (BN),P.030 Jeli,34.01
Barisan Nasional (BN),P.031 Kuala Krai,27.14
Barisan Nasional (BN),P.032 Gua Musang,44.78
Barisan Nasional (BN),P.033 Besut,36.2
Barisan Nasional (BN),P.034 Setiu,37.41
Barisan Nasional (BN),P.035 Kuala Nerus,30.73
Barisan Nasional (BN),P.036 Kuala Terengganu,22.9
Barisan Nasional (BN),P.037 Marang,28.78
Barisan Nasional (BN),P.038 Hulu Terengganu,37.74
Barisan Nasional (BN),P.039 Dungun,28.07
Barisan Nasional (BN),P.040 Kemaman,34.07
Barisan Nasional (BN),P.041 Kepala Batas,37.14
Barisan Nasional (BN),P.042 Tasek Gelugor,28.11
Barisan Nasional (BN),P.043 Bagan,7.84
Barisan Nasional (BN),P.044 Permatang Pauh,19.41
Barisan Nasional (BN),P.045 Bukit Mertajam,7.53
Barisan Nasional (BN),P.046 Batu Kawan,10.38
Barisan Nasional (BN),P.047 Nibong Tebal,13.44
Barisan Nasional (BN),P.048 Bukit Bendera,8.67
Barisan Nasional (BN),P.049 Tanjong,8.53
Barisan Nasional (BN),P.050 Jelutong,10.45
Barisan Nasional (BN),P.051 Bukit Gelugor,7.87
Barisan Nasional (BN),P.052 Bayan Baru,14.91
Barisan Nasional (BN),P.053 Balik Pulau,24.22
Barisan Nasional (BN),P.054 Gerik,39.66
Barisan Nasional (BN),P.055 Lenggong,45.48
Barisan Nasional (BN),P.056 Larut,32.29
Barisan Nasional (BN),P.057 Parit Buntar,21.91
Barisan Nasional (BN),P.058 Bagan Serai,24.31
Barisan Nasional (BN),P.059 Bukit Gantang,27.76
Barisan Nasional (BN),P.060 Taiping,17.22
Barisan Nasional (BN),P.061 Padang Rengas,33.08
Barisan Nasional (BN),P.062 Sungai Siput,38.32
Barisan Nasional (BN),P.063 Tambun,22.55
Barisan Nasional (BN),P.064 Ipoh Timor,10.74
Barisan Nasional (BN),P.065 Ipoh Barat,9.25
Barisan Nasional (BN),P.066 Batu Gajah,9.06
Barisan Nasional (BN),P.067 Kuala Kangsar,30.25
Barisan Nasional (BN),P.068 Beruas,17.63
Barisan Nasional (BN),P.069 Parit,40.02
Barisan Nasional (BN),P.070 Kampar,27.17
Barisan Nasional (BN),P.071 Gopeng,17.75
Barisan Nasional (BN),P.072 Tapah,41.36
Barisan Nasional (BN),P.073 Pasir Salak,34.89
Barisan Nasional (BN),P.074 Lumut,34.92
Barisan Nasional (BN),P.075 Bagan Datuk,39.61
Barisan Nasional (BN),P.076 Teluk Intan,19.17
Barisan Nasional (BN),P.077 Tanjong Malim,30.09
Barisan Nasional (BN),P.078 Cameron Highlands,48.46
Barisan Nasional (BN),P.079 Lipis,49.29
Barisan Nasional (BN),P.080 Raub,30.12
Barisan Nasional (BN),P.081 Jerantut,35.37
Barisan Nasional (BN),P.082 Indera Mahkota,17.7
Barisan Nasional (BN),P.083 Kuantan,28.21
Barisan Nasional (BN),P.084 Paya Besar,43.4
Barisan Nasional (BN),P.085 Pekan,50.96
Barisan Nasional (BN),P.086 Maran,43.27
Barisan Nasional (BN),P.087 Kuala Krau,44.98
Barisan Nasional (BN),P.088 Temerloh,30.48
Barisan Nasional (BN),P.089 Bentong,36.58
Barisan Nasional (BN),P.090 Bera,53.34
Barisan Nasional (BN),P.091 Rompin,45.05
Barisan Nasional (BN),P.092 Sabak Bernam,31.52
Barisan Nasional (BN),P.093 Sungai Besar,27.38
Barisan Nasional (BN),P.094 Hulu Selangor,22.09
Barisan Nasional (BN),P.095 Tanjong Karang,31.0
Barisan Nasional (BN),P.096 Kuala Selangor,34.73
Barisan Nasional (BN),P.097 Selayang,13.41
Barisan Nasional (BN),P.098 Gombak,18.57
Barisan Nasional (BN),P.099 Ampang,11.02
Barisan Nasional (BN),P.100 Pandan,10.09
Barisan Nasional (BN),P.101 Hulu Langat,23.81
Barisan Nasional (BN),P.102 Bangi,10.51
Barisan Nasional (BN),P.103 Puchong,17.75
Barisan Nasional (BN),P.104 Subang,9.29
Barisan Nasional (BN),P.105 Petaling Jaya,15.94
Barisan Nasional (BN),P.106 Damansara,7.89
Barisan Nasional (BN),P.107 Sungai Buloh,37.22
Barisan Nasional (BN),P.108 Shah Alam,20.82
Barisan Nasional (BN),P.109 Kapar,22.2
Barisan Nasional (BN),P.110 Klang,12.06
Barisan Nasional (BN),P.111 Kota Raja,11.24
Barisan Nasional (BN),P.112 Kuala Langat,15.09
Barisan Nasional (BN),P.113 Sepang,22.54
Barisan Nasional (BN),P.114 Kepong,4.46
Barisan Nasional (BN),P.115 Batu,11.93
Barisan Nasional (BN),P.116 Wangsa Maju,21.13
Barisan Nasional (BN),P.117 Segambut,9.71
Barisan Nasional (BN),P.118 Setiawangsa,21.85
Barisan Nasional (BN),P.119 Titiwangsa,41.15
Barisan Nasional (BN),P.120 Bukit Bintang,9.16
Barisan Nasional (BN),P.121 Lembah Pantai,27.96
Barisan Nasional (BN),P.122 Seputeh,6.9
Barisan Nasional (BN),P.123 Cheras,7.81
Barisan Nasional (BN),P.124 Bandar Tun Razak,17.08
Barisan Nasional (BN),P.125 Putrajaya,37.37
Barisan Nasional (BN),P.126 Jelebu,48.1
Barisan Nasional (BN),P.127 Jempol,41.98
Barisan Nasional (BN),P.128 Seremban,19.94
Barisan Nasional (BN),P.129 Kuala Pilah,44.02
Barisan Nasional (BN),P.130 Rasah,16.25
Barisan Nasional (BN),P.131 Rembau,48.5
Barisan Nasional (BN),P.132 Port Dickson,22.96
Barisan Nasional (BN),P.133 Tampin,38.15
Barisan Nasional (BN),P.134 Masjid Tanah,38.71
Barisan Nasional (BN),P.135 Alor Gajah,37.38
Barisan Nasional (BN),P.136 Tangga Batu,27.27
Barisan Nasional (BN),P.137 Hang Tuah Jaya,32.58
Barisan Nasional (BN),P.138 Kota Melaka,16.79
Barisan Nasional (BN),P.139 Jasin,35.53
Barisan Nasional (BN),P.140 Segamat,35.08
Barisan Nasional (BN),P.141 Sekijang,35.67
Barisan Nasional (BN),P.142 Labis,38.28
Barisan Nasional (BN),P.143 Pagoh,26.52
Barisan Nasional (BN),P.144 Ledang,29.74
Barisan Nasional (BN),P.145 Bakri,23.77
Barisan Nasional (BN),P.146 Muar,27.43
Barisan Nasional (BN),P.147 Parit Sulong,40.89
Barisan Nasional (BN),P.148 Ayer Hitam,40.5
Barisan Nasional (BN),P.149 Sri Gading,31.41
Barisan Nasional (BN),P.150 Batu Pahat,24.43
Barisan Nasional (BN),P.151 Simpang Renggam,41.49
Barisan Nasional (BN),P.152 Kluang,24.47
Barisan Nasional (BN),P.153 Sembrong,55.15
Barisan Nasional (BN),P.154 Mersing,39.93
Barisan Nasional (BN),P.155 Tenggara,41.26
Barisan Nasional (BN),P.156 Kota Tinggi,53.68
Barisan Nasional (BN),P.157 Pengerang,51.96
Barisan Nasional (BN),P.158 Tebrau,18.32
Barisan Nasional (BN),P.159 Pasir Gudang,25.03
Barisan Nasional (BN),P.160 Johor Bahru,28.83
Barisan Nasional (BN),P.161 Pulai,27.05
Barisan Nasional (BN),P.162 Iskandar Puteri,22.47
Barisan Nasional (BN),P.163 Kulai,25.6
Barisan Nasional (BN),P.164 Pontian,40.81
Barisan Nasional (BN),P.165 Tanjung Piai,43.22
Barisan Nasional (BN),P.166 Labuan,26.07
Barisan Nasional (BN),P.169 Kota Belud,38.06
Barisan Nasional (BN),P.171 Sepanggar,28.42
Barisan Nasional (BN),P.173 Putatan,39.36
Barisan Nasional (BN),P.176 Kimanis,41.86
Barisan Nasional (BN),P.177 Beaufort,36.08
Barisan Nasional (BN),P.181 Tenom,30.11
Barisan Nasional (BN),P.182 Pensiangan,52.88
Barisan Nasional (BN),P.183 Beluran,33.1
Barisan Nasional (BN),P.184 Libaran,51.58
Barisan Nasional (BN),P.187 Kinabatangan,57.38
Barisan Nasional (BN),P.188 Lahad Datu,39.11
Barisan Nasional (BN),P.191 Kalabakan,47.68
Democratic Action Party (DAP),P.192 Mas Gading,55.05
Democratic Action Party (DAP),P.195 Bandar Kuching,71.34
Democratic Action Party (DAP),P.196 Stampin,53.3
Democratic Action Party (DAP),P.199 Serian,13.23
Democratic Action Party (DAP),P.208 Sarikei,44.93
Democratic Action Party (DAP),P.211 Lanang,56.89
Democratic Action Party (DAP),P.212 Sibu,47.45
Democratic Action Party (DAP),P.217 Bintulu,30.24
Gabungan Parti Sarawak (GPS),P.192 Mas Gading,37.59
Gabungan Parti Sarawak (GPS),P.193 Santubong,84.42
Gabungan Parti Sarawak (GPS),P.194 Petra Jaya,79.15
Gabungan Parti Sarawak (GPS),P.195 Bandar Kuching,25.89
Gabungan Parti Sarawak (GPS),P.196 Stampin,43.59
Gabungan Parti Sarawak (GPS),P.197 Kota Samarahan,76.71
Gabungan Parti Sarawak (GPS),P.198 Puncak Borneo,57.58
Gabungan Parti Sarawak (GPS),P.199 Serian,57.23
Gabungan Parti Sarawak (GPS),P.200 Batang Sadong,83.18
Gabungan Parti Sarawak (GPS),P.201 Batang Lupar,71.22
Gabungan Parti Sarawak (GPS),P.202 Sri Aman,44.27
Gabungan Parti Sarawak (GPS),P.203 Lubok Antu,34.44
Gabungan Parti Sarawak (GPS),P.204 Betong,61.69
Gabungan Parti Sarawak (GPS),P.205 Saratok,33.71
Gabungan Parti Sarawak (GPS),P.206 Tanjong Manis,86.52
Gabungan Parti Sarawak (GPS),P.207 Igan,93.16
Gabungan Parti Sarawak (GPS),P.208 Sarikei,55.07
Gabungan Parti Sarawak (GPS),P.209 Julau,34.69
Gabungan Parti Sarawak (GPS),P.210 Kanowit,41.07
Gabungan Parti Sarawak (GPS),P.211 Lanang,35.08
Gabungan Parti Sarawak (GPS),P.212 Sibu,35.68
Gabungan Parti Sarawak (GPS),P.213 Mukah,78.23
Gabungan Parti Sarawak (GPS),P.214 Selangau,55.83
Gabungan Parti Sarawak (GPS),P.215 Kapit,75.1
Gabungan Parti Sarawak (GPS),P.216 Hulu Rajang,66.03
Gabungan Parti Sarawak (GPS),P.217 Bintulu,61.73
Gabungan Parti Sarawak (GPS),P.218 Sibuti,65.31
Gabungan Parti Sarawak (GPS),P.219 Miri,42.73
Gabungan Parti Sarawak (GPS),P.220 Baram,61.78
Gabungan Parti Sarawak (GPS),P.221 Limbang,75.25
Gabungan Parti Sarawak (GPS),P.222 Lawas,62.4
Gabungan Rakyat Sabah (GRS),P.167 Kudat,31.83
Gabungan Rakyat Sabah (GRS),P.168 Kota Marudu,32.32
Gabungan Rakyat Sabah (GRS),P.170 Tuaran,42.44
Gabungan Rakyat Sabah (GRS),P.172 Kota Kinabalu,10.41
Gabungan Rakyat Sabah (GRS),P.174 Penampang,13.24
Gabungan Rakyat Sabah (GRS),P.175 Papar,51.99
Gabungan Rakyat Sabah (GRS),P.178 Sipitang,49.75
Gabungan Rakyat Sabah (GRS),P.179 Ranau,53.44
Gabungan Rakyat Sabah (GRS),P.180 Keningau,42.2
Gabungan Rakyat Sabah (GRS),P.185 Batu Sapi,44.95
Gabungan Rakyat Sabah (GRS),P.186 Sandakan,16.35
Gabungan Rakyat Sabah (GRS),P.189 Semporna,20.28
Gabungan Rakyat Sabah (GRS),P.190 Tawau,39.19
Independent (BEBAS),P.001 Padang Besar,4.28
Independent (BEBAS),P.004 Langkawi,0.19
Independent (BEBAS),P.009 Alor Setar,0.15
Independent (BEBAS),P.009 Alor Setar,0.2
Independent (BEBAS),P.017 Padang Serai,0.93
Independent (BEBAS),P.020 Pengkalan Chepa,0.58
Independent (BEBAS),P.021 Kota Bharu,0.12
Independent (BEBAS),P.025 Bachok,0.47
Independent (BEBAS),P.027 Tanah Merah,0.16
Independent (BEBAS),P.039 Dungun,0.33
Independent (BEBAS),P.047 Nibong Tebal,0.71
Independent (BEBAS),P.048 Bukit Bendera,0.48
Independent (BEBAS),P.050 Jelutong,0.68
Independent (BEBAS),P.052 Bayan Baru,0.14
Independent (BEBAS),P.053 Balik Pulau,0.28
Independent (BEBAS),P.053 Balik Pulau,0.57
Independent (BEBAS),P.060 Taiping,0.28
Independent (BEBAS),P.060 Taiping,0.13
Independent (BEBAS),P.060 Taiping,1.36
Independent (BEBAS),P.062 Sungai Siput,1.19
Independent (BEBAS),P.062 Sungai Siput,1.16
Independent (BEBAS),P.062 Sungai Siput,0.07
Independent (BEBAS),P.065 Ipoh Barat,0.48
Independent (BEBAS),P.072 Tapah,0.22
Independent (BEBAS),P.075 Bagan Datuk,0.54
Independent (BEBAS),P.077 Tanjong Malim,1.48
Independent (BEBAS),P.077 Tanjong Malim,0.47
Independent (BEBAS),P.085 Pekan,0.39
Independent (BEBAS),P.086 Maran,0.4
Independent (BEBAS),P.089 Bentong,0.25
Independent (BEBAS),P.089 Bentong,1.2
Independent (BEBAS),P.091 Rompin,0.61
Independent (BEBAS),P.094 Hulu Selangor,0.36
Independent (BEBAS),P.095 Tanjong Karang,2.75
Independent (BEBAS),P.097 Selayang,0.65
Independent (BEBAS),P.098 Gombak,0.41
Independent (BEBAS),P.099 Ampang,0.14
Independent (BEBAS),P.099 Ampang,0.18
Independent (BEBAS),P.099 Ampang,0.09
Independent (BEBAS),P.101 Hulu Langat,0.24
Independent (BEBAS),P.102 Bangi,0.28
Independent (BEBAS),P.102 Bangi,0.16
Independent (BEBAS),P.102 Bangi,0.08
Independent (BEBAS),P.103 Puchong,1.48
Independent (BEBAS),P.105 Petaling Jaya,0.32
Independent (BEBAS),P.107 Sungai Buloh,0.09
Independent (BEBAS),P.107 Sungai Buloh,0.13
Independent (BEBAS),P.109 Kapar,0.3
Independent (BEBAS),P.110 Klang,1.84
Independent (BEBAS),P.110 Klang,0.27
Independent (BEBAS),P.111 Kota Raja,0.08
Independent (BEBAS),P.111 Kota Raja,0.11
Independent (BEBAS),P.111 Kota Raja,0.05
Independent (BEBAS),P.112 Kuala Langat,0.41
Independent (BEBAS),P.113 Sepang,0.23
Independent (BEBAS),P.113 Sepang,0.14
Independent (BEBAS),P.114 Kepong,2.02
Independent (BEBAS),P.115 Batu,0.75
Independent (BEBAS),P.115 Batu,5.28
Independent (BEBAS),P.115 Batu,0.13
Independent (BEBAS),P.115 Batu,0.72
Independent (BEBAS),P.116 Wangsa Maju,0.23
Independent (BEBAS),P.118 Setiawangsa,0.38
Independent (BEBAS),P.118 Setiawangsa,0.66
Independent (BEBAS),P.122 Seputeh,0.99
Independent (BEBAS),P.122 Seputeh,1.46
Independent (BEBAS),P.125 Putrajaya,0.17
Independent (BEBAS),P.125 Putrajaya,0.05
Independent (BEBAS),P.128 Seremban,0.3
Independent (BEBAS),P.132 Port Dickson,0.55
Independent (BEBAS),P.136 Tangga Batu,0.29
Independent (BEBAS),P.138 Kota Melaka,0.75
Independent (BEBAS),P.144 Ledang,0.09
Independent (BEBAS),P.144 Ledang,0.17
Independent (BEBAS),P.145 Bakri,2.6
Independent (BEBAS),P.152 Kluang,0.42
Independent (BEBAS),P.154 Mersing,0.19
Independent (BEBAS),P.167 Kudat,36.19
Independent (BEBAS),P.168 Kota Marudu,1.32
Independent (BEBAS),P.170 Tuaran,0.67
Independent (BEBAS),P.170 Tuaran,3.45
Independent (BEBAS),P.172 Kota Kinabalu,0.31
Independent (BEBAS),P.174 Penampang,0.57
Independent (BEBAS),P.175 Papar,0.53
Independent (BEBAS),P.175 Papar,0.77
Independent (BEBAS),P.177 Beaufort,0.49
Independent (BEBAS),P.177 Beaufort,1.86
Independent (BEBAS),P.181 Tenom,35.0
Independent (BEBAS),P.181 Tenom,0.3
Independent (BEBAS),P.184 Libaran,1.48
Independent (BEBAS),P.185 Batu Sapi,0.59
Independent (BEBAS),P.186 Sandakan,7.57
Independent (BEBAS),P.186 Sandakan,3.11
Independent (BEBAS),P.186 Sandakan,0.8
Independent (BEBAS),P.190 Tawau,1.28
Independent (BEBAS),P.190 Tawau,3.5
Independent (BEBAS),P.191 Kalabakan,0.68
Independent (BEBAS),P.193 Santubong,5.81
Independent (BEBAS),P.199 Serian,15.46
Independent (BEBAS),P.202 Sri Aman,17.77
Independent (BEBAS),P.204 Betong,18.93
Independent (BEBAS),P.209 Julau,23.18
Independent (BEBAS),P.210 Kanowit,2.37
Independent (BEBAS),P.210 Kanowit,4.11
Independent (BEBAS),P.210 Kanowit,12.69
Independent (BEBAS),P.211 Lanang,1.11
Independent (BEBAS),P.214 Selangau,5.65
Independent (BEBAS),P.220 Baram,1.09
Malaysian United Democratic Alliance (MUDA),P.041 Kepala Batas,20.51
