parlimen,variable,value
P.001 Padang Besar,housing_per_hundred,26.528261019839167
P.002 Kangar,housing_per_hundred,28.396605627512283
P.003 Arau,housing_per_hundred,22.055439115604322
P.004 Langkawi,housing_per_hundred,35.08147613078671
P.005 Jerlun,housing_per_hundred,30.31050449414399
P.006 Kubang Pasu,housing_per_hundred,30.538293216630198
P.007 Padang Terap,housing_per_hundred,28.974327887733764
P.008 Pokok Sena,housing_per_hundred,31.09419271440059
P.009 Alor Setar,housing_per_hundred,29.48743803041761
P.010 Kuala Kedah,housing_per_hundred,28.35519090755902
P.011 Pendang,housing_per_hundred,29.89241468152129
P.012 Jerai,housing_per_hundred,27.37797147385103
P.013 Sik,housing_per_hundred,28.154937906564165
P.014 Merbok,housing_per_hundred,30.916956696570946
P.015 Sungai Petani,housing_per_hundred,30.146057747813494
P.016 Baling,housing_per_hundred,29.458359643583808
P.017 Padang Serai,housing_per_hundred,27.685664873614645
P.018 Kulim-Bandar Baharu,housing_per_hundred,27.911155477913653
P.019 Tumpat,housing_per_hundred,23.403392166451788
P.020 Pengkalan Chepa,housing_per_hundred,21.125543294462467
P.021 Kota Bharu,housing_per_hundred,26.510500684245535
P.022 Pasir Mas,housing_per_hundred,22.364200359547393
P.023 Rantau Panjang,housing_per_hundred,25.264219995211544
P.024 Kubang Kerian,housing_per_hundred,23.75580200093215
P.025 Bachok,housing_per_hundred,23.560152837733884
P.026 Ketereh,housing_per_hundred,25.581845677190913
P.027 Tanah Merah,housing_per_hundred,23.07108405155373
P.028 Pasir Puteh,housing_per_hundred,24.540762610161753
P.029 Machang,housing_per_hundred,23.58496539870641
P.030 Jeli,housing_per_hundred,21.492805755395683
P.031 Kuala Krai,housing_per_hundred,27.60006475758759
P.032 Gua Musang,housing_per_hundred,25.216231832525892
P.033 Besut,housing_per_hundred,27.185605319773128
P.034 Setiu,housing_per_hundred,26.46049513849171
P.035 Kuala Nerus,housing_per_hundred,26.36458188878103
P.036 Kuala Terengganu,housing_per_hundred,29.167409382241477
P.037 Marang,housing_per_hundred,27.93755236827838
P.038 Hulu Terengganu,housing_per_hundred,29.15791192640575
P.039 Dungun,housing_per_hundred,26.752440390462475
P.040 Kemaman,housing_per_hundred,26.780065126030927
P.041 Kepala Batas,housing_per_hundred,28.57325940039131
P.042 Tasek Gelugor,housing_per_hundred,28.405317168542272
P.043 Bagan,housing_per_hundred,32.175810916317694
