parlimen,variable,value
P.001 Padang Besar,housing_total,23026.0
P.002 Kangar,housing_total,28611.0
P.003 Arau,housing_total,21467.0
P.004 Langkawi,housing_total,33025.0
P.005 Jerlun,housing_total,20031.0
P.006 Kubang Pasu,housing_total,52335.0
P.007 Padang Terap,housing_total,19119.0
P.008 Pokok Sena,housing_total,41373.0
P.009 Alor Setar,housing_total,35093.0
P.010 Kuala Kedah,housing_total,48799.0
P.011 Pendang,housing_total,29702.0
P.012 Jerai,housing_total,34551.0
P.013 Sik,housing_total,19044.0
P.014 Merbok,housing_total,66891.0
P.015 Sungai Petani,housing_total,83034.0
P.016 Baling,housing_total,41987.0
P.017 Padang Serai,housing_total,72519.0
P.018 Kulim-Bandar Baharu,housing_total,33552.0
P.019 Tumpat,housing_total,42113.0
P.020 Pengkalan Chepa,housing_total,33732.0
P.021 Kota Bharu,housing_total,34676.0
P.022 Pasir Mas,housing_total,25378.0
P.023 Rantau Panjang,housing_total,29546.0
P.024 Kubang Kerian,housing_total,37208.0
P.025 Bachok,housing_total,37058.0
P.026 Ketereh,housing_total,27743.0
P.027 Tanah Merah,housing_total,29178.0
P.028 Pasir Puteh,housing_total,33332.0
P.029 Machang,housing_total,26072.0
P.030 Jeli,housing_total,16969.0
P.031 Kuala Krai,housing_total,28982.0
P.032 Gua Musang,housing_total,28367.0
P.033 Besut,housing_total,34750.0
P.034 Setiu,housing_total,32385.0
P.035 Kuala Nerus,housing_total,38023.0
P.036 Kuala Terengganu,housing_total,37635.0
P.037 Marang,housing_total,45346.0
P.038 Hulu Terengganu,housing_total,26783.0
P.039 Dungun,housing_total,41794.0
P.040 Kemaman,housing_total,57733.0
P.041 Kepala Batas,housing_total,33443.0
P.042 Tasek Gelugor,housing_total,30365.0
P.043 Bagan,housing_total,36266.0
P.044 Permatang Pauh,housing_total,46040.0
P.045 Bukit Mertajam,housing_total,53775.0
P.046 Batu Kawan,housing_total,47725.0
P.047 Nibong Tebal,housing_total,44019.0
P.048 Bukit Bendera,housing_total,56322.0
P.049 Tanjong,housing_total,14679.0
P.050 Jelutong,housing_total,39632.0
P.051 Bukit Gelugor,housing_total,66466.0
P.052 Bayan Baru,housing_total,65086.0
P.053 Balik Pulau,housing_total,53190.0
P.054 Gerik,housing_total,18089.0
P.055 Lenggong,housing_total,11976.0
P.056 Larut,housing_total,22324.0
P.057 Parit Buntar,housing_total,20480.0
P.058 Bagan Serai,housing_total,29419.0
P.059 Bukit Gantang,housing_total,33062.0
P.060 Taiping,housing_total,42279.0
P.061 Padang Rengas,housing_total,13661.0
P.062 Sungai Siput,housing_total,25049.0
P.063 Tambun,housing_total,81823.0
P.064 Ipoh Timor,housing_total,46436.0
P.065 Ipoh Barat,housing_total,43354.0
P.066 Batu Gajah,housing_total,44930.0
P.067 Kuala Kangsar,housing_total,16749.0
P.068 Beruas,housing_total,42750.0
P.069 Parit,housing_total,22714.0
P.070 Kampar,housing_total,41050.0
P.071 Gopeng,housing_total,68221.0
P.072 Tapah,housing_total,24943.0
P.073 Pasir Salak,housing_total,30024.0
P.074 Lumut,housing_total,42300.0
P.075 Bagan Datuk,housing_total,18505.0
P.076 Teluk Intan,housing_total,32150.0
P.077 Tanjong Malim,housing_total,36035.0
P.078 Cameron Highlands,housing_total,22093.0
P.079 Lipis,housing_total,17206.0
P.080 Raub,housing_total,25230.0
P.081 Jerantut,housing_total,28779.0
P.082 Indera Mahkota,housing_total,66984.0
P.083 Kuantan,housing_total,36542.0
P.084 Paya Besar,housing_total,37467.0
P.085 Pekan,housing_total,46006.0
P.086 Maran,housing_total,17092.0
P.087 Kuala Krau,housing_total,18922.0
P.088 Temerloh,housing_total,43361.0
P.089 Bentong,housing_total,39719.0
P.090 Bera,housing_total,25619.0
P.091 Rompin,housing_total,33952.0
P.092 Sabak Bernam,housing_total,15904.0
P.093 Sungai Besar,housing_total,17846.0
P.094 Hulu Selangor,housing_total,89382.0
P.095 Tanjong Karang,housing_total,18581.0
P.096 Kuala Selangor,housing_total,54842.0
P.097 Selayang,housing_total,105838.0
P.098 Gombak,housing_total,85320.0
P.099 Ampang,housing_total,62726.0
P.100 Pandan,housing_total,76213.0
P.101 Hulu Langat,housing_total,110398.0
P.102 Bangi,housing_total,201487.0
P.103 Puchong,housing_total,107968.0
P.104 Subang,housing_total,144677.0
P.105 Petaling Jaya,housing_total,109346.0
P.106 Damansara,housing_total,137145.0
P.107 Sungai Buloh,housing_total,100120.0
P.108 Shah Alam,housing_total,127353.0
P.109 Kapar,housing_total,81703.0
P.110 Klang,housing_total,82884.0
P.111 Kota Raja,housing_total,148807.0
P.112 Kuala Langat,housing_total,78393.0
P.113 Sepang,housing_total,144963.0
P.126 Jelebu,housing_total,18859.0
P.127 Jempol,housing_total,31266.0
P.128 Seremban,housing_total,89957.0
P.129 Kuala Pilah,housing_total,24214.0
P.130 Rasah,housing_total,81671.0
P.131 Rembau,housing_total,69055.0
P.132 Port Dickson,housing_total,50523.0
P.133 Tampin,housing_total,27086.0
P.134 Masjid Tanah,housing_total,30358.0
P.135 Alor Gajah,housing_total,48113.0
P.136 Tangga Batu,housing_total,63350.0
P.137 Hang Tuah Jaya,housing_total,57900.0
P.138 Kota Melaka,housing_total,75418.0
P.139 Jasin,housing_total,44614.0
P.140 Segamat,housing_total,23470.0
P.141 Sekijang,housing_total,25333.0
P.142 Labis,housing_total,16235.0
P.143 Pagoh,housing_total,26485.0
P.144 Ledang,housing_total,38901.0
P.145 Bakri,housing_total,33589.0
P.146 Muar,housing_total,24443.0
P.147 Parit Sulong,housing_total,21271.0
P.148 Ayer Hitam,housing_total,21704.0
P.149 Sri Gading,housing_total,40464.0
P.150 Batu Pahat,housing_total,46047.0
P.151 Simpang Renggam,housing_total,21150.0
P.152 Kluang,housing_total,55050.0
P.153 Sembrong,housing_total,17901.0
P.154 Mersing,housing_total,21815.0
P.155 Tenggara,housing_total,28953.0
P.156 Kota Tinggi,housing_total,17147.0
P.157 Pengerang,housing_total,24215.0
P.158 Tebrau,housing_total,157077.0
P.159 Pasir Gudang,housing_total,115460.0
P.160 Johor Bahru,housing_total,70825.0
P.161 Pulai,housing_total,104883.0
P.162 Iskandar Puteri,housing_total,171063.0
P.163 Kulai,housing_total,74762.0
P.164 Pontian,housing_total,22388.0
P.165 Tanjung Piai,housing_total,24304.0
P.167 Kudat,housing_total,23015.0
P.168 Kota Marudu,housing_total,26062.0
P.169 Kota Belud,housing_total,21393.0
P.170 Tuaran,housing_total,34024.0
P.171 Sepanggar,housing_total,76661.0
P.172 Kota Kinabalu,housing_total,25976.0
P.173 Putatan,housing_total,27162.0
P.174 Penampang,housing_total,47840.0
P.175 Papar,housing_total,26178.0
P.176 Kimanis,housing_total,10517.0
P.177 Beaufort,housing_total,13325.0
P.178 Sipitang,housing_total,15839.0
P.179 Ranau,housing_total,18134.0
P.180 Keningau,housing_total,32215.0
P.181 Tenom,housing_total,12238.0
P.182 Pensiangan,housing_total,18757.0
P.183 Beluran,housing_total,30227.0
P.184 Libaran,housing_total,36450.0
P.185 Batu Sapi,housing_total,21873.0
P.186 Sandakan,housing_total,22999.0
P.187 Kinabatangan,housing_total,50371.0
P.188 Lahad Datu,housing_total,63360.0
P.189 Semporna,housing_total,31553.0
P.190 Tawau,housing_total,47607.0
P.191 Kalabakan,housing_total,43247.0
P.192 Mas Gading,housing_total,15913.0
P.193 Santubong,housing_total,33334.0
P.194 Petra Jaya,housing_total,42218.0
P.195 Bandar Kuching,housing_total,35812.0
P.196 Stampin,housing_total,66734.0
P.197 Kota Samarahan,housing_total,49252.0
P.198 Puncak Borneo,housing_total,26067.0
P.199 Serian,housing_total,18892.0
P.200 Batang Sadong,housing_total,9661.0
P.201 Batang Lupar,housing_total,10843.0
P.202 Sri Aman,housing_total,19636.0
P.203 Lubok Antu,housing_total,8985.0
P.204 Betong,housing_total,11462.0
P.205 Saratok,housing_total,13048.0
P.206 Tanjong Manis,housing_total,12626.0
P.207 Igan,housing_total,10226.0
P.208 Sarikei,housing_total,16303.0
P.209 Julau,housing_total,11470.0
P.210 Kanowit,housing_total,9744.0
P.211 Lanang,housing_total,35113.0
P.212 Sibu,housing_total,49188.0
P.213 Mukah,housing_total,19214.0
P.214 Selangau,housing_total,16426.0
P.215 Kapit,housing_total,15710.0
P.216 Hulu Rajang,housing_total,17083.0
P.217 Bintulu,housing_total,66360.0
P.218 Sibuti,housing_total,22589.0
P.219 Miri,housing_total,68212.0
P.220 Baram,housing_total,23190.0
P.221 Limbang,housing_total,13849.0
P.222 Lawas,housing_total,9902.0
P.114 Kepong,housing_total,31667.0
P.115 Batu,housing_total,66080.0
P.116 Wangsa Maju,housing_total,62008.0
P.117 Segambut,housing_total,90043.0
P.118 Setiawangsa,housing_total,45093.0
P.119 Titiwangsa,housing_total,44206.0
P.120 Bukit Bintang,housing_total,44272.0
P.121 Lembah Pantai,housing_total,47085.0
P.122 Seputeh,housing_total,97871.0
P.123 Cheras,housing_total,47148.0
P.124 Bandar Tun Razak,housing_total,59166.0
P.125 Putrajaya,housing_total,38056.0
P.166 Labuan,housing_total,22879.0
P.001 Padang Besar,utilities_pipedwater_home,99.7
P.002 Kangar,utilities_pipedwater_home,99.4
P.003 Arau,utilities_pipedwater_home,99.8
P.004 Langkawi,utilities_pipedwater_home,99.5
P.005 Jerlun,utilities_pipedwater_home,99.0
P.006 Kubang Pasu,utilities_pipedwater_home,100.0
P.007 Padang Terap,utilities_pipedwater_home,100.0
P.008 Pokok Sena,utilities_pipedwater_home,100.0
P.009 Alor Setar,utilities_pipedwater_home,100.0
P.010 Kuala Kedah,utilities_pipedwater_home,100.0
P.011 Pendang,utilities_pipedwater_home,100.0
P.012 Jerai,utilities_pipedwater_home,100.0
P.013 Sik,utilities_pipedwater_home,91.9
P.014 Merbok,utilities_pipedwater_home,99.7
P.015 Sungai Petani,utilities_pipedwater_home,100.0
P.016 Baling,utilities_pipedwater_home,96.9
P.017 Padang Serai,utilities_pipedwater_home,99.9
P.018 Kulim-Bandar Baharu,utilities_pipedwater_home,100.0
P.019 Tumpat,utilities_pipedwater_home,66.9
P.020 Pengkalan Chepa,utilities_pipedwater_home,76.6
P.021 Kota Bharu,utilities_pipedwater_home,71.6
P.022 Pasir Mas,utilities_pipedwater_home,77.0
P.023 Rantau Panjang,utilities_pipedwater_home,66.8
P.024 Kubang Kerian,utilities_pipedwater_home,56.0
P.025 Bachok,utilities_pipedwater_home,42.3
P.026 Ketereh,utilities_pipedwater_home,48.6
P.027 Tanah Merah,utilities_pipedwater_home,77.3
P.028 Pasir Puteh,utilities_pipedwater_home,65.8
P.029 Machang,utilities_pipedwater_home,70.1
P.030 Jeli,utilities_pipedwater_home,72.4
P.031 Kuala Krai,utilities_pipedwater_home,83.3
P.032 Gua Musang,utilities_pipedwater_home,86.5
P.033 Besut,utilities_pipedwater_home,83.7
P.034 Setiu,utilities_pipedwater_home,95.6
P.035 Kuala Nerus,utilities_pipedwater_home,96.2
P.036 Kuala Terengganu,utilities_pipedwater_home,98.0
P.037 Marang,utilities_pipedwater_home,97.0
P.038 Hulu Terengganu,utilities_pipedwater_home,99.2
P.039 Dungun,utilities_pipedwater_home,98.1
P.040 Kemaman,utilities_pipedwater_home,99.8
P.041 Kepala Batas,utilities_pipedwater_home,99.9
P.042 Tasek Gelugor,utilities_pipedwater_home,99.6
P.043 Bagan,utilities_pipedwater_home,100.0
P.044 Permatang Pauh,utilities_pipedwater_home,100.0
P.045 Bukit Mertajam,utilities_pipedwater_home,99.8
P.046 Batu Kawan,utilities_pipedwater_home,100.0
P.047 Nibong Tebal,utilities_pipedwater_home,100.0
P.048 Bukit Bendera,utilities_pipedwater_home,100.0
P.049 Tanjong,utilities_pipedwater_home,100.0
P.050 Jelutong,utilities_pipedwater_home,100.0
P.051 Bukit Gelugor,utilities_pipedwater_home,100.0
P.052 Bayan Baru,utilities_pipedwater_home,100.0
P.053 Balik Pulau,utilities_pipedwater_home,100.0
P.054 Gerik,utilities_pipedwater_home,98.1
P.055 Lenggong,utilities_pipedwater_home,94.9
P.056 Larut,utilities_pipedwater_home,97.8
P.057 Parit Buntar,utilities_pipedwater_home,100.0
P.058 Bagan Serai,utilities_pipedwater_home,100.0
P.059 Bukit Gantang,utilities_pipedwater_home,99.8
P.060 Taiping,utilities_pipedwater_home,100.0
P.061 Padang Rengas,utilities_pipedwater_home,100.0
P.062 Sungai Siput,utilities_pipedwater_home,100.0
P.063 Tambun,utilities_pipedwater_home,100.0
P.064 Ipoh Timor,utilities_pipedwater_home,100.0
P.065 Ipoh Barat,utilities_pipedwater_home,98.9
P.066 Batu Gajah,utilities_pipedwater_home,100.0
P.067 Kuala Kangsar,utilities_pipedwater_home,99.3
P.068 Beruas,utilities_pipedwater_home,99.9
P.069 Parit,utilities_pipedwater_home,100.0
P.070 Kampar,utilities_pipedwater_home,99.9
P.071 Gopeng,utilities_pipedwater_home,100.0
P.072 Tapah,utilities_pipedwater_home,100.0
P.073 Pasir Salak,utilities_pipedwater_home,99.4
P.074 Lumut,utilities_pipedwater_home,100.0
P.075 Bagan Datuk,utilities_pipedwater_home,100.0
P.076 Teluk Intan,utilities_pipedwater_home,99.6
P.077 Tanjong Malim,utilities_pipedwater_home,99.4
P.078 Cameron Highlands,utilities_pipedwater_home,96.7
P.079 Lipis,utilities_pipedwater_home,97.8
P.080 Raub,utilities_pipedwater_home,89.7
P.081 Jerantut,utilities_pipedwater_home,100.0
P.082 Indera Mahkota,utilities_pipedwater_home,100.0
P.083 Kuantan,utilities_pipedwater_home,99.9
P.084 Paya Besar,utilities_pipedwater_home,98.2
P.085 Pekan,utilities_pipedwater_home,92.4
P.086 Maran,utilities_pipedwater_home,98.8
P.087 Kuala Krau,utilities_pipedwater_home,99.3
P.088 Temerloh,utilities_pipedwater_home,100.0
P.089 Bentong,utilities_pipedwater_home,99.5
P.090 Bera,utilities_pipedwater_home,99.4
P.091 Rompin,utilities_pipedwater_home,96.3
P.092 Sabak Bernam,utilities_pipedwater_home,100.0
P.093 Sungai Besar,utilities_pipedwater_home,100.0
P.094 Hulu Selangor,utilities_pipedwater_home,100.0
P.095 Tanjong Karang,utilities_pipedwater_home,100.0
P.096 Kuala Selangor,utilities_pipedwater_home,100.0
P.097 Selayang,utilities_pipedwater_home,100.0
P.098 Gombak,utilities_pipedwater_home,100.0
P.099 Ampang,utilities_pipedwater_home,100.0
P.100 Pandan,utilities_pipedwater_home,100.0
P.101 Hulu Langat,utilities_pipedwater_home,100.0
P.102 Bangi,utilities_pipedwater_home,100.0
P.103 Puchong,utilities_pipedwater_home,100.0
P.104 Subang,utilities_pipedwater_home,100.0
P.105 Petaling Jaya,utilities_pipedwater_home,100.0
P.106 Damansara,utilities_pipedwater_home,100.0
P.107 Sungai Buloh,utilities_pipedwater_home,100.0
P.108 Shah Alam,utilities_pipedwater_home,100.0
P.109 Kapar,utilities_pipedwater_home,100.0
P.110 Klang,utilities_pipedwater_home,100.0
P.111 Kota Raja,utilities_pipedwater_home,100.0
P.112 Kuala Langat,utilities_pipedwater_home,100.0
P.113 Sepang,utilities_pipedwater_home,100.0
P.126 Jelebu,utilities_pipedwater_home,100.0
P.127 Jempol,utilities_pipedwater_home,100.0
P.128 Seremban,utilities_pipedwater_home,100.0
P.129 Kuala Pilah,utilities_pipedwater_home,100.0
P.130 Rasah,utilities_pipedwater_home,100.0
P.131 Rembau,utilities_pipedwater_home,99.2
P.132 Port Dickson,utilities_pipedwater_home,100.0
P.133 Tampin,utilities_pipedwater_home,100.0
P.134 Masjid Tanah,utilities_pipedwater_home,100.0
P.135 Alor Gajah,utilities_pipedwater_home,100.0
P.136 Tangga Batu,utilities_pipedwater_home,100.0
P.137 Hang Tuah Jaya,utilities_pipedwater_home,100.0
P.138 Kota Melaka,utilities_pipedwater_home,100.0
P.139 Jasin,utilities_pipedwater_home,100.0
P.140 Segamat,utilities_pipedwater_home,100.0
P.141 Sekijang,utilities_pipedwater_home,100.0
P.142 Labis,utilities_pipedwater_home,100.0
P.143 Pagoh,utilities_pipedwater_home,100.0
