state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,undi_keluar_peti,majoriti,pengundi_jumlah,peratus_keluar,population_total,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
Perlis,P.001 Padang Besar,1,Rushdan Bin Rusmi,RUSHDAN BIN RUSMI,44.0,male,bumiputera,Perikatan Nasional (PN),24267,1,won,1,46059.0,12514.0,60192,76.5201355661882,86798,89.80184124,5.640269287,1.648547708,2.90934177
Perlis,P.002 Kangar,1,Zakri Bin Hassan,CIKGU ZAKRI,57.0,male,bumiputera,Perikatan Nasional (PN),24562,1,won,1,56968.0,9192.0,74859,76.10040208926114,100755,87.33029377,9.576661014,1.518090151,1.574955067
Perlis,P.003 Arau,2,Shahidan Bin Kassim,SHAHIDAN BIN KASSIM,71.0,male,bumiputera,Perikatan Nasional (PN),31458,1,won,0,47604.0,23216.0,60876,78.19830475064065,97332,89.41732185,6.576505182,2.338845905,1.667327063
Kedah,P.004 Langkawi,2,Mohd Suhaimi Bin Abdullah,MOHD SUHAIMI BIN ABDULLAH,46.0,male,bumiputera,Perikatan Nasional (PN),25463,1,won,1,48123.0,13518.0,66777,72.06523204097219,94138,91.86024551,5.122479587,1.934122091,1.083152808
Kedah,P.005 Jerlun,1,Abd Ghani Bin Ahmad,DR. ABD GHANI AHMAD,52.0,male,bumiputera,Perikatan Nasional (PN),31685,1,won,1,52909.0,20456.0,67601,78.26659368944246,66086,93.45941566,4.178451848,0.085617747,2.276514746
Kedah,P.006 Kubang Pasu,1,Ku Abd Rahman Bin Ku Ismail,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,70.0,male,bumiputera,Perikatan Nasional (PN),47584,1,won,1,84486.0,31584.0,108217,78.07091307280741,171375,88.56110011,7.38735793,2.939805143,1.111736816
Kedah,P.007 Padang Terap,4,Nurul Amin Bin Hamid,USTAZ NURUL AMIN,39.0,male,bumiputera,Perikatan Nasional (PN),28217,1,won,1,49341.0,10959.0,59806,82.50175567668796,65986,91.66453919,0.793017616,0.044677049,7.497766148
Kedah,P.008 Pokok Sena,2,Ahmad Bin Saad @ Yahaya,DATO' AHMAD YAHAYA,47.0,male,bumiputera,Perikatan Nasional (PN),52275,1,won,1,88976.0,31751.0,114838,77.47957992998833,133057,85.15264438,12.1827055,2.150898092,0.513752027
Kedah,P.009 Alor Setar,2,Afnan Hamimi Bin Taib Azamudden,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,41.0,male,bumiputera,Perikatan Nasional (PN),37486,1,won,1,77969.0,9931.0,105994,73.55982414098912,119010,68.52072479,28.1345022,3.000693494,0.344079521
Kedah,P.010 Kuala Kedah,4,Ahmad Fakhruddin Bin Fakhrurazi,DR. AHMAD FAKHRUDDIN,51.0,male,bumiputera,Perikatan Nasional (PN),56298,1,won,1,101510.0,28061.0,132500,76.61132075471698,172099,75.58628338,22.93257965,1.150206608,0.330930362
Kedah,P.011 Pendang,1,Awang Bin Hashim,DATUK HAJI AWANG SOLAHUDIN,58.0,male,bumiputera,Perikatan Nasional (PN),49008,1,won,0,76381.0,31289.0,94547,80.78627560895639,99363,90.80974028,2.906075874,0.423802732,5.860381115
Kedah,P.012 Jerai,3,Sabri Bin Azit,USTAZ SABRI BIN AZIT,56.0,male,bumiputera,Perikatan Nasional (PN),49461,1,won,0,83294.0,33192.0,105001,79.32686355368044,126200,87.48194511,7.473920719,4.795377949,0.248756219
Kedah,P.013 Sik,3,Ahmad Tarmizi Bin Sulaiman,AHMAD TARMIZI SULAIMAN,46.0,male,bumiputera,Perikatan Nasional (PN),34606,1,won,0,51659.0,21787.0,63126,81.83474321198872,67640,94.07706982,0.782907287,0.086989699,5.053033193
Kedah,P.014 Merbok,4,Mohd Nazri Bin Abu Hassan,MOHD NAZRI,52.0,male,bumiputera,Perikatan Nasional (PN),52573,1,won,1,103779.0,21019.0,132444,78.35689045936395,216357,74.0518163,13.49254781,12.09340018,0.362235707
Kedah,P.015 Sungai Petani,1,Mohammed Taufiq Bin Johari,DR. TAUFIQ BIN DATO' JOHARI,26.0,male,bumiputera,Pakatan Harapan (PH),50580,1,won,1,131447.0,1115.0,168847,77.84976931778475,275439,69.18329073,19.31029571,11.03716775,0.469245804
Kedah,P.016 Baling,4,Hassan Bin Saad,USTAZ HASSAN,65.0,male,bumiputera,Perikatan Nasional (PN),64493,1,won,1,110353.0,29137.0,132099,83.53810399775926,142530,92.12868878,3.018290065,3.232246615,1.620774537
Kedah,P.017 Padang Serai,4,Azman Bin Nasrudin,DATO' CIKGU AZMAN,50.0,male,bumiputera,Perikatan Nasional (PN),51637,1,won,1,,,133867,,261937,70.11459185,14.16065639,15.2044714,0.520280357
Kedah,P.018 Kulim-Bandar Baharu,2,Roslan Bin Hashim,CIKGU ROSLAN HASHIM,55.0,male,bumiputera,Perikatan Nasional (PN),34469,1,won,1,71440.0,13061.0,90141,79.2536137828513,120210,73.82509124,14.4396589,11.50606265,0.229187207
Kelantan,P.019 Tumpat,2,Mumtaz Binti Md Nawi,DATO' KAK TAZ,50.0,female,bumiputera,Parti Islam Se-Malaysia (PAS),65426,1,won,1,106173.0,34793.0,149371,71.08006239497627,179944,92.46455242,4.124300432,0.098597783,3.312549369
Kelantan,P.020 Pengkalan Chepa,4,Ahmad Marzuk Bin Shaary,DATUK MARZUK,46.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),53933,1,won,0,78659.0,38270.0,106982,73.52545287992372,159674,97.28848937,2.10454202,0.32141165,0.285556964
Kelantan,P.021 Kota Bharu,1,Takiyuddin Bin Hassan,DATUK SERI TAKIYUDDIN,61.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),41869,1,won,0,79028.0,22613.0,115450,68.4521437851884,130801,92.72397255,6.605537605,0.291823466,0.378666375
Kelantan,P.022 Pasir Mas,2,Ahmad Fadhli Bin Shaari,USTAZ FADHLI SHAARI,42.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),44444,1,won,0,66145.0,30717.0,94544,69.96213403283127,113476,98.50893221,1.287941954,0.007096099,0.196029733
Kelantan,P.023 Rantau Panjang,2,Siti Zailah Binti Mohd Yusoff,KAK LAH,59.0,female,bumiputera,Parti Islam Se-Malaysia (PAS),37759,1,won,0,61406.0,20636.0,93248,65.85235072065889,116948,97.82389719,1.642063216,0.018235498,0.515804099
Kelantan,P.024 Kubang Kerian,4,Tuan Ibharim Bin Tuan Man,USTAZ DATO' TUAN IBRAHIM,62.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),55654,1,won,0,82502.0,40847.0,113640,72.59943681802183,156627,97.49864765,2.025587049,0.282200512,0.193564786
Kelantan,P.025 Bachok,1,Mohd Syahir Bin Che Sulaiman,SYAHIR SULAIMAN,39.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),57130,1,won,1,91223.0,29901.0,123183,74.05486146627376,157291,98.78947031,0.86722603,0.071735093,0.271568565
Kelantan,P.026 Ketereh,3,Khlir Bin Mohd Nor,MEJ JEN DATO HJ KHLIR (B),64.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),40542,1,won,1,64060.0,23107.0,85281,75.11637996740188,108448,97.70039668,1.909475339,0.076715815,0.31341217
Kelantan,P.027 Tanah Merah,5,Ikmal Hisham Bin Abdul Aziz,DATO' SRI IKMAL HISHAM,57.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),54266,1,won,0,70667.0,44485.0,98782,71.53833694397764,126470,95.39564715,3.803454282,0.301964806,0.498933763
Kelantan,P.028 Pasir Puteh,4,Nik Muhammad Zawawi Bin Salleh,USTAZ NIK ZAWAWI,55.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),52937,1,won,0,82228.0,29109.0,113070,72.72309188997966,135823,98.87597991,0.460129518,0.054830249,0.609060328
Kelantan,P.029 Machang,3,Wan Ahmad Fayhsal Bin Wan Ahmad Kamal,WAN AHMAD FAYHSAL,35.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),35603,1,won,1,66024.0,10154.0,88825,74.3304249929637,110545,98.00016437,1.800765234,0.094969363,0.104101033
Kelantan,P.030 Jeli,2,Zahari Bin Kechik,POK ZAHARI,62.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),27072,1,won,1,43732.0,12464.0,59798,73.13288069835112,78952,99.37335049,0.21581705,0.232718385,0.178114071
Kelantan,P.031 Kuala Krai,1,Abdul Latiff Bin Abdul Rahman,USTAZ LATIFF,51.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),42740,1,won,0,65684.0,25188.0,92335,71.13662208263388,105007,95.43923757,3.494148437,0.835514296,0.231099699
Kelantan,P.032 Gua Musang,2,Mohd Azizi Bin Abu Naim,MOHD AZIZI ABU NAIM,50.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),21826,1,won,1,49699.0,163.0,70254,70.74187946593788,112495,93.75685601,4.548099394,1.358324987,0.336719607
Terengganu,P.033 Besut,1,Che Mohamad Zulkifly Bin Jusoh,DATUK ABE ZUL,63.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),49569,1,won,0,86487.0,18666.0,111650,77.46260635915809,127825,98.60539461,0.991808192,0.073526474,0.329270729
Terengganu,P.034 Setiu,2,Shaharizukirnain Bin Abd Kadir,USTAZ ZUKIRNAIN ABD KADIR,53.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),50768,1,won,0,86029.0,19032.0,107294,80.18062519805395,122390,99.61630975,0.185602876,0.033291996,0.164795379
Terengganu,P.035 Kuala Nerus,1,Alias Bin Razak,DATO' DR. HAJI ALIAS RAZAK,63.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),56697,1,won,1,88593.0,29765.0,105952,83.61616581093325,144220,97.90357278,1.588138524,0.370495353,0.137793338
Terengganu,P.036 Kuala Terengganu,4,Ahmad Amzad Bin Mohamed @ Hashim,DATUK HAJI AMZAD HASHIM,52.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),63016,1,won,0,97605.0,40907.0,123305,79.15737399132233,129031,94.6444884,4.789139639,0.395586588,0.170785374
Terengganu,P.037 Marang,1,Abdul Hadi Bin Awang,TUAN GURU HAJI ABDUL HADI AWANG,75.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),73115,1,won,0,110312.0,41729.0,131756,83.72446036613134,162312,98.50406423,1.291944529,0.030567495,0.173423747
Terengganu,P.038 Hulu Terengganu,3,Rosol Bin Wahid,DATO ROSOL WAHID,58.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),42910,1,won,0,72970.0,15734.0,87917,82.99873744554523,91855,99.49331633,0.190148703,0.017079225,0.299455742
Terengganu,P.039 Dungun,5,Wan Hassan Bin Mohd Ramli,USTAZ HAJI WAN HASSAN,65.0,male,bumiputera,Parti Islam Se-Malaysia (PAS),59720,1,won,0,92128.0,34105.0,115559,79.72377746432558,156225,97.53775893,2.176480183,0.084814875,0.200946012
